"donor","supplier","supplier_uri","via","currency","non_gbp_value","value","fee","cash","cash_balance","date","description","unspsc_code","transaction_reference","ec_category","ec_accounting_category"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-1.81,0,0,0,"2014-12-15","Facebook advertising","82101603","694365467344131-1031410","A","campaigning costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-31.92,0,0,0,"2015-02-24","Room hire","90111600","16627","D","campaigning costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-22.6,0,0,0,"2015-03-02","Room hire","90111600","16632","D","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-14.84,0,0,0,"2015-03-10","Facebook advertising","82101603","764273203686691-1194841","A","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-5.16,0,0,0,"2015-03-16","Facebook advertising","82101603","743580095755995-1204938","A","campaigning costs"
"James Smith",,,"Crowdfunder","GBP",,50,0,50,50,"2015-03-19","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,100,"2015-03-19","Donation",,,,"donation"
"Anne Taylor",,,"Crowdfunder","GBP",,200,0,200,300,"2015-03-19","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,310,"2015-03-19","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,320,"2015-03-19","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,330,"2015-03-19","Donation",,,,"donation"
"Samuel Pickard",,,"Crowdfunder","GBP",,10,0,10,340,"2015-03-19","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,390,"2015-03-19","Donation",,,,"donation"
"Stuart Harrison",,,"Crowdfunder","GBP",,10,0,10,400,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,20,0,20,420,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,20,0,20,440,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,20,0,20,460,"2015-03-20","Donation",,,,"donation"
"Kristian Glass",,,"Crowdfunder","GBP",,50,0,50,510,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,560,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,570,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,580,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,590,"2015-03-20","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,600,"2015-03-20","Donation",,,,"donation"
"Anna",,,"Crowdfunder","GBP",,50,0,50,650,"2015-03-23","Donation",,,,"donation"
"James Smith","North Horsham Parish Council",,,"GBP",,-29.2,0,0,650,"2015-03-24","Room hire","90111600","16903","D","campaigning costs"
,,,"Crowdfunder","GBP",,15,0,15,665,"2015-03-26","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,715,"2015-03-28","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,725,"2015-03-29","Donation",,,,"donation"
,"Horsham District Council","http://opendatacommunities.org/doc/district-council/horsham",,"GBP",,-500,0,-500,225,"2015-03-30","Election deposit",,,,"campaigning costs"
,,,"Crowdfunder","GBP",,10,0,10,235,"2015-03-30","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,245,"2015-03-30","Donation",,,,"donation"
"Stephen Matthew",,,"Crowdfunder","GBP",,20,0,20,265,"2015-03-30","Donation",,,,"donation"
"Edafe Onerhime",,,"Crowdfunder","GBP",,10,0,10,275,"2015-03-30","Donation",,,,"donation"
"Michael Winston Dales",,,"Crowdfunder","GBP",,100,0,100,375,"2015-03-30","Donation",,,,"donation"
"Philip Peter",,,"Crowdfunder","GBP",,50,0,50,425,"2015-03-30","Donation",,,,"donation"
"Clive Walker",,,"Crowdfunder","GBP",,20,0,20,445,"2015-03-31","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,495,"2015-03-31","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,505,"2015-03-31","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,10,0,10,515,"2015-04-02","Donation",,,,"donation"
"Sally Kentfield",,,"Crowdfunder","GBP",,25,0,25,540,"2015-04-02","Donation",,,,"donation"
,,,"Crowdfunder","GBP",,50,0,50,590,"2015-04-03","Donation",,,,"donation"
"Phil Venton",,,"Crowdfunder","GBP",,500,0,500,1090,"2015-04-03","Donation",,,,"donation"
"Gianfranco Cecconi",,,"Crowdfunder","GBP",,10,0,10,1100,"2015-04-04","Donation",,,,"donation"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-2.99,0,0,1100,"2015-04-07","Facebook advertising","82101603","758183240962347-1244031","A","campaigning costs"
"James Smith","Billingshurst Centre","http://opencharities.org/charities/227480",,"GBP",,-31,0,0,1100,"2015-04-07","Room hire","90111600","6142","D","campaigning costs"
,,,,"GBP",,10,0,10,1110,"2015-04-07","Donation",,,,"donation"
,,,,"GBP",,10,0,10,1120,"2015-04-14","Donation",,,,"donation"
,"KEO PF.it Limited","https://opencorporates.com/companies/gb/07831511",,"GBP",,-97.2,0,-97.2,1022.8,"2015-04-16","Crowdfunder fees",93151510,,,"fundraising costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-33.24,0,0,1022.8,"2015-04-21","Room hire","90111600","17071","D","campaigning costs"
,"Foundry Press Limited","https://opencorporates.com/companies/gb/02846162",,"GBP",,-1005,0,-1005,17.8,"2015-04-23","Leaflet printing","82121506","42980","B","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-17.36,0,0,17.8,"2015-04-24","Facebook advertising","82101603","784306541683355-1278564","A","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-2.64,0,0,17.8,"2015-05-04","Facebook advertising","82101603","759600624153950-1289861","A","campaigning costs"
,"Central party funds",,,"GBP",,-17.8,0,-17.8,0,"2015-05-07","Transfer of remaining funds to party",,,,
